"Timestamp","Please rank the attributes by the order of importance that makes most sense to you as a member of the general public [1st choice]","Please rank the attributes by the order of importance that makes most sense to you as a member of the general public [2nd choice]","Please rank the attributes by the order of importance that makes most sense to you as a member of the general public [3rd choice]","Gender","Your field of study"
"2021/04/19 12:17:19 PM GMT+2","Lifespan","Capacity","Mutability","Male","Computer Science"
"2021/04/19 12:19:31 PM GMT+2","Accessibility","Usage","Mutability","Female","Computer Science"
"2021/04/19 12:46:17 PM GMT+2","Mutability","Capacity","Accessibility","Male","Computer Science;economics"
"2021/04/19 12:46:59 PM GMT+2","Capacity","Usage","Accessibility","Female","Computer Science"
"2021/04/19 2:52:42 PM GMT+2","Accessibility","Mutability","Lifespan","Male","Wirtschaftsinformatik"
"2021/04/19 5:06:09 PM GMT+2","Lifespan","Capacity","Accessibility","Male","Computer Science"
"2021/04/20 10:23:14 AM GMT+2","Capacity","Usage","Lifespan","Male","Computer Science"
"2021/04/20 1:54:21 PM GMT+2","Accessibility","Usage","Mutability","Female","Business informatics"
"2021/04/20 5:33:38 PM GMT+2","Mutability","Lifespan","Capacity","Male","Computer Science"
"2021/04/20 8:25:49 PM GMT+2","Accessibility","Usage","Mutability","Female","Computer Science"
"2021/05/07 3:24:31 PM GMT+2","Accessibility","Lifespan","Capacity","Male","Biology;Computer Science"
"2021/05/07 3:31:12 PM GMT+2","Lifespan","Capacity","Accessibility","Prefer not to say","Computer Science"
"2021/05/07 3:32:49 PM GMT+2","Accessibility","Capacity","Lifespan","Female","Computer Science"
"2021/05/07 4:23:52 PM GMT+2","Accessibility","Mutability","Capacity","Prefer not to say","Computer Science"
"2021/05/07 4:54:42 PM GMT+2","Accessibility","Lifespan","Capacity","Male","Computer Science"
"2021/05/08 11:30:39 AM GMT+2","Accessibility","Mutability","Capacity","Male","Biology;Computer Science"
"2021/05/08 10:15:02 PM GMT+2","Lifespan","Mutability","Capacity","Male","Computer Science"
"2021/05/11 1:02:09 PM GMT+2","Capacity","Usage","Accessibility","Female","Biology;Computer Science;Mathematics"
"2021/05/11 1:08:13 PM GMT+2","Accessibility","Capacity","Usage","Female","Biology"
"2021/05/12 3:06:03 PM GMT+2","Capacity","Usage","Accessibility","Female","Computer Science"
"2021/05/12 3:33:55 PM GMT+2","Accessibility","Capacity","Usage","Male","Computer Science"
"2021/08/17 10:12:54 AM GMT+2","Accessibility","Lifespan","Mutability","Female","Social Science"
"2021/08/17 10:18:55 AM GMT+2","Accessibility","Capacity","Mutability","Female","Medicine"
"2021/08/17 10:29:16 AM GMT+2","Accessibility","Capacity","Usage","Female","Social Science"
"2021/08/17 10:36:51 AM GMT+2","Accessibility","Capacity","Lifespan","Female","Social Science"
"2021/08/17 10:45:40 AM GMT+2","Capacity","Usage","Lifespan","Female","Medicine"
"2021/08/17 10:49:35 AM GMT+2","Lifespan","Capacity","Usage","Female","Social Science"
"2021/08/17 11:24:19 AM GMT+2","Accessibility","Mutability","Lifespan","Female","Medicine"
"2021/08/17 9:04:17 PM GMT+2","Accessibility","Lifespan","Usage","Male","Social Science"
"2021/08/18 1:01:37 PM GMT+2","Capacity","Usage","Lifespan","Male","Mathematics"
